***********************************************************************************************************************
*First Data line should contain the following...
*Blk X Scale <> Blk Y Scale  <> Text Rotation  <> Text Size 
***********************************************************************************************************************
*1					1            45               2.5
***********************************************************************************************************************
*Field data starts here
***********************************************************************************************************************
*NORTHING       EASTING         R.L.            GIRTH
************************************************FIELD BOOK NO 800-8 ***************************************************
37578.247       20172.328       422.338
37527.215       20214.036       419.495         g=1.8
37527.406       20211.680       418.711
37499.675       20232.238       419.244         g=2.1
37482.700       20238.172       417.256
37553.261       20223.712       420.546         g=1.8
37557.174       20222.691       420.440         g=1.8
37421.829       20260.863       418.443
37391.333       20270.708       417.685         g=2.5
37414.260       20296.667       416.721
37339.172       20299.782       419.178         g=2.0
37399.874       20282.563       419.240
37307.244       20316.122       421.841
37254.212       20321.071       422.343         g=2.4
37168.416       20386.804       419.670
37189.407       20384.060       419.202
37038.268       20447.463       423.027         g=2.2
37054.250       20455.732       423.347         g=2.9
37122.207       20392.066       421.416
37023.719       20497.257       424.477         g=3.1
37035.238       20480.031       423.986         g=2.5
37036.212       20508.983       424.270         g=2.0
37046.731       20493.949       423.563         g=2.2
37057.304       20479.458       423.519         g=3.7
37065.648       20470.330       423.308
************************************************FIELD BOOK NO-800-18  **************************************************************
37027.409       20523.264       424.207
37001.740       20570.422       422.517         g=3.5
36979.355       20571.673       424.317         g=3.0
36962.777       20600.393       424.062         g=2.9
36981.097       20600.360       423.137         g=2.6
36972.629       20619.237       422.555         g=2.0
36955.659       20615.309       424.199         g=3.3
36934.827       20652.101       423.977
36948.551       20662.822       423.504         g=3.0
36920.523       20710.303       424.392
36862.674       20811.288       425.013         g=2.0
36840.269       20861.313       424.440         g=1.8
36827.706       20871.469       424.421         g=2.0
36842.444       20882.932       424.135
36803.676       20857.240       424.209         g=2.0
36795.433       20863.975       423.892         g=1.8
36791.963       20936.885       423.187         g=1.9
36796.485       20892.930       423.720
36782.055       20952.625       423.160         g=2.5
36753.937       20974.172       422.480         g=1.8
36755.012       21003.280       422.608         g=2.4
36763.788       20995.125       422.823
36748.013       21018.968       422.220         g=3.0
36738.597       21033.935       422.251         g=2.4
36728.905       21018.252       422.000         g=2.0
36717.781       21039.096       421.710
36706.199       21061.598       421.911         g=2.3
36722.436       21063.848       421.769         g=2.2
36698.298       21077.170                       g=1.8
36691.014       21090.939       421.959         g=2.3
36708.170       21089.934       421.712
36700.932       21102.454       421.566         g=1.9
36677.093       21113.476       421.587         g=2.3
36689.752       21125.101       421.008         g=1.9
36676.006       21148.235       421.378         g=3.0
36662.240       21140.945       421.311         g=2.5
36667.990       21161.669       421.141         g=2.5
36671.937       21169.525       420.346
36653.162       21187.918       420.974         g=3.0
36634.933       21185.769       420.444         g=1.9
36627.419       21191.753       419.910         g=1.9
36588.066       21300.275       419.137
36572.115       21362.362       418.443        
36563.419       21338.860       419.081
36531.046       21329.602       416.657
36524.831       21365.980       417.898         g=3.7
36543.152       21374.438       417.820
36534.013       21393.161       417.951
36530.393       21394.808       417.805
36525.377       21394.059       418.656
36504.291       21391.563       418.001         g=2.9
36519.078       21403.521       418.468
36497.909       21381.367       417.337
36520.376       21405.699       418.256         g=2.3
36492.958       21395.130       417.552
36493.880       21431.681       418.356         g=2.0
36472.366       21427.947       418.338         g=4.3
36461.710       21439.203       418.221         g=4.0
36427.733       21474.714       418.691         
************************************************FIELD BOOK NO 800-19 ********************************
36416.064       21487.763       418.737         g=5.8
36396.757       21533.752       418.199         g=2.8
36378.216       21529.518       417.907         g=2.8
36390.440       21515.240       418.096         g=3.8
36406.959       21497.715       418.213         g=2.0
36365.074       21543.009       417.445         g=2.4
36353.668       21555.281       417.192         g=2.4
36343.647       21567.532       417.056         g=2.7
36320.578       21594.715       416.547         g=3.7
36307.939       21609.130       416.228         g=5.5
36308.957       21630.602       415.738         g=2.3
36317.401       21622.272       416.102         g=2.9
36295.299       21623.102       415.746         g=2.5
36332.327       21604.692       416.712
36336.487       21599.734       417.296         g=6.2
36347.734       21586.183       417.252         g=2.8
36363.837       21569.446       417.498         g=3.7
36372.787       21559.815       417.853         g=4.0
36366.410       21580.990       417.172         
36281.629       21636.329       415.281         g=2.8
36284.012       21659.452       415.207         g=2.9
36268.864       21652.467       415.033         g=3.0
36248.202       21674.111       414.445         g=2.9
36259.071       21683.301       414.166         g=2.5
36245.012       21698.560       413.962         g=2.2
36237.733       21704.997       413.505         g=2.9
36231.490       21712.000       413.439         g=3.2
36221.438       21722.258       413.069         g=2.2
36225.784       21698.413       413.575         g=2.4
36180.642       21725.947       413.212
36200.084       21722.476       412.947         g=2.0
36174.846       21749.940       412.415         g=2.5
36155.792       21768.516       411.766         g=2.4
36210.083       21734.294       412.832         
36199.641       21745.598       412.625         g=2.6
36173.242       21770.405       411.857         g=6.4
36161.296       21783.388       411.003        
35955.505       21985.053       408.950         g=2.2
35977.830       21964.247       409.082         g=2.4
35963.778       21958.280       408.813         g=2.8
35977.161       21945.825       409.007         g=2.7
36016.947       21926.779       409.707         g=1.8
36032.329       21913.530       409.706         g=2.4
36014.185       21909.480       409.209         g=2.8
36013.682       21903.805       408.911        
36020.737       21897.298       408.906         g=2.0
36046.569       21900.061       409.993         g=2.7
36040.558       21885.375       410.014         g=1.8
36068.832       21891.249       409.393        
36075.336       21886.549       409.450         g=1.9
36052.793       21873.007       410.220         g=2.0            
36066.168       21860.596       410.529         g=5.2
36090.964       21855.639       410.577         g=2.0
36106.232       21842.230       410.286         g=4.6
36126.381       21817.822       410.896         g=3.6
36112.404       21812.645       410.544         g=2.6
36145.806       21778.310       411.312         g=4.5
************************************************FIELD BOOK NO 800-20 *********************************
35946.468       22006.174       408.479
35936.096       22018.607       408.307
35942.697       22004.988       408.411
35938.754       22016.435       408.434
35898.744       22073.593       407.135
35903.728       22014.249       407.776         g=1.8
35906.111       22007.043       407.269
35908.825       21992.999       407.268
35879.260       22059.704       408.038         g=4.8
35872.911       22043.902       407.624         g=3.6
35858.837       22079.795       407.842         g=4.8
35904.896       22057.106       406.987         
35836.812       22105.979       407.155
35802.060       22112.522       406.279
35809.220       22094.843       406.044
35823.984       22097.151       408.123
35772.293       22168.176       407.373
35795.970       22160.677       407.093
35756.311       22179.713       406.537         g=2.5
35767.649       22176.605       407.557
35752.428       22200.777       407.435         g=2.6
35739.462       22221.045       407.715         
35783.287       22199.818       406.666
35735.164       22232.017       407.748
35710.973       22248.804       406.387         g=3.2
35750.576       22244.188       406.475
35743.632       22249.075       407.054         g=3.0
35719.233       22258.920       407.584         g=2.8
35734.481       22264.030       407.475         g=2.3
35739.510       22254.796       407.307
35726.567       22277.839       408.143         g=6.4
35755.896       22225.689       407.405         g=1.9
35670.235       22348.125       407.301         g=1.8
35676.039       22338.977       407.292         g=2.7
35682.086       22327.471       407.375         g=2.2
35660.659       22364.898       407.034         g=2.6
35690.484       22312.578       407.384         g=2.7
35694.815       22302.522       407.509        
35702.649       22290.750       407.358         g=2.1
35714.835       22313.699       405.704
35708.951       22317.614       406.278
35627.591       22449.014       406.200         g=2.7
35711.621       22304.338       407.318         g=2.1
35701.306       22323.388       406.836         g=2.7
35632.826       22436.647       406.771         g=2.2
35698.920       22328.278       406.812         g=2.4
35693.965       22336.052       406.777         g=4.4
35656.420       22427.035       406.067         g=4.3
35651.986       22410.719       406.506         g=1.5
35658.932       22398.464       406.632         g=2.8
35664.985       22384.732       407.055         g=2.7
35649.344       22383.175       407.214         g=2.8
35630.454       22411.609       406.481         g=1.8
35627.015       22422.351       406.747         g=5.4
35624.126       22405.134       405.922         
35597.711       22440.022       406.225
35590.340       22455.576       406.139         g=1.5
35663.817       22343.827       407.278
35661.564       22342.022       407.145
35604.091       22450.051       406.583         g=2.7
35590.288       22455.482       406.172
35593.392       22466.633       406.119
35591.264       22475.101       406.186         g=3.0
35584.687       22481.948       405.439         g=1.7
35578.899       22490.441       405.716         g=9.0
35567.686       22506.209       405.996         g=2.7
35558.574       22516.502       405.023
35549.006       22529.273       404.782         g=2.4
35554.994       22508.527       404.096         
35553.943       22512.218       404.057
35542.343       22537.312       404.690         g=2.2
35528.702       22555.742       404.369         g=2.9
35509.649       22581.421       404.085         g=8.5
35498.240       22594.728       403.800         g=1.8
35569.950       22524.418       405.316        
************************************************FIELD BOOK NO 800-21 **********************************
35615.195       22481.326       405.633
35515.504       22611.694       402.431         g=2.7
35462.815       22597.288       402.487         g=1.8
35505.476       22638.316       401.775         
35468.464       22632.529       402.932         g=4.2
35459.169       22644.557       402.832         g=2.7
35427.428       22666.021       402.432        
35468.567       22653.507       402.859         g=1.7
35465.793       22662.669       402.308         g=2.0
35463.205       22662.813       402.594
35406.301       22668.144       402.475
35463.481       22675.440       401.601
35436.541       22694.551       402.546         g=5.8
35428.602       22706.279       402.316         g=2.9
35431.717       22674.558       402.456         g=2.2
35437.513       22670.655       402.588         g=2.5
35337.592       22823.956       400.865
35239.504       22931.901       399.617         g=2.7
35235.051       22928.870       399.918
35227.567       22948.817       399.873         g=5.8
35209.340       22981.136       399.377         g=2.6
35232.342       22969.837       399.513         g=5.2
35226.645       22980.506       399.588         g=6.0
35184.525       23030.849       399.611         g=6.7
35184.855       23066.545       398.776
35177.545       23043.719       398.703
35178.036       23081.659       399.601         g=2.4
35172.364       23055.703                       g=2.2
35194.380       23087.363       397.944         g=2.0
35171.827       23096.512       399.457         g=3.3
35143.327       23128.112       399.929         g=2.5
35150.441       23109.147       399.871         g=2.3
35161.987       23061.192       398.151
35407.188       22710.548       402.158         g=2.4
35406.253       22705.677       401.804         g=3.9
35399.248       22721.527       402.209         g=2.5
35403.807       22757.725       402.006
35400.269       22796.719       399.641         g=2.1
35376.909       22771.133       401.426         g=2.0
35386.745       22758.179       401.875         g=3.0
35360.523       22769.603       401.379         g=5.1
35359.188       22794.555       401.259         g=2.4
35341.709       22794.000       401.254         g=2.4
35350.786       22807.013       401.001         g=2.1
35350.341       22816.988       400.262
35333.710       22804.464       400.770         g=2.7
35325.909       22816.178       400.693         g=3.0
35316.536       22824.815       399.521         
35307.516       22834.956       399.050         g=3.5
35291.894       22859.786       399.278         g=3.5
35381.316       22873.332       399.334         g=3.0
35260.249       22900.123       399.414         g=5.0
35251.526       22915.602       399.594         g=2.6
35240.260       22931.572       399.796         g=2.3
************************************************FIELD BOOK NO-800-22 ***************************************
35305.498       22881.626       400.062         g=2.2     
35110.503       23267.257       400.202         g=9.2
35100.267       23246.593       399.649         g=4.2
35106.377       23230.764       400.005         g=4.8
35120.756       23236.170       400.243         g=3.0
35127.654       23166.890       400.040         g=3.8
35142.627       23173.109       400.147         g=5.0
35133.788       23149.618       399.767         g=5.2
35149.218       23155.437       400.154         g=1.8
35153.939       23142.032       399.913         g=2.6
35085.288       23244.084       399.209         g=2.3
35075.951       23258.080       399.072         g=2.7
35051.806       23477.991       398.414         g=2.2
35048.783       23494.629       398.371         g=1.8
35064.979       23415.615       398.077         g=3.4    
35070.714       23398.526       396.977         g=6.1
35072.455       23388.459       397.577         g=1.8
35075.434       23374.101       398.395         g=2.3
35078.306       23364.963       398.342         g=2.2
35087.966       23351.150       398.202         g=2.2
35086.751       23340.418       398.590         g=2.3
35093.979       23324.548       398.940         
35098.235       23303.509       399.185         g=2.8
35105.169       23298.014       399.342         g=2.5
35072.817       23330.375       398.825         g=6.6
35062.952       23361.106       398.547         g=6.6
35042.870       23525.841       398.207         g=1.9
35045.330       23516.440       398.139         g=2.7
35008.120       23448.729       399.049
35005.921       23482.790       399.478
35049.811       23410.733       398.500
35045.738       23425.767       398.270
35027.578       23432.725       398.632
35016.558       23509.376       398.104         g=1.8
35021.033       23494.029       398.387         g=2.0
35044.146       23567.182       397.628
35007.568       23769.114       397.493         g=3.0
35011.495       23750.447       397.122         g=2.2
35014.412       23728.550       397.508         g=3.2
35035.288       23726.012       397.270
35017.478       23704.854       397.737         g=2.2
35034.505       23691.224       398.234         g=2.0
35026.849       23523.907       398.446         g=2.0
35022.189       23542.989       398.073
35014.925       23607.698       398.098         g=4.3
35007.067       23659.938       398.150         g=3.2
35032.878       23625.548       398.909
************************************************FIELD BOOK NO 800-23 ************************************
35001.924       23708.854       398.612         g=2.0
34998.322       23739.271       397.310
34992.081       23739.223       396.548         g=3.8
34995.682       23755.083       397.026         g=6.5
34993.770       23771.535       397.121         g=2.1
